"","date","st","zv","zg","lmo","wind","swr"
"34228",2014-07-22 01:00:00,928.488939099529,11.0376093314898,9.0099934700663,Inf,7.01,0
"34229",2014-07-22 02:00:00,933.638697369747,11.0376093314898,8.94084285547265,Inf,5.9,0
"34230",2014-07-22 03:00:00,938.609568170825,11.0376093314898,8.75976627423731,477960.816553625,4.83,0.003
"34231",2014-07-22 04:00:00,942.559917093903,11.0376093314898,8.79613122424765,3687.42079765163,4.42,0.298
"34232",2014-07-22 05:00:00,937.479061858216,11.0376093314898,8.82851339091631,154.398204190219,5.37,12.763
"34233",2014-07-22 06:00:00,927.857467957608,11.0376093314898,8.77902452264535,50.0782260094925,6.75,78.151
"34234",2014-07-22 07:00:00,929.262858688014,11.0376093314898,9.01881426072561,35.6368746385202,8.24,199.781
"34235",2014-07-22 08:00:00,929.374027069654,11.0376093314898,9.3150566374128,27.071027746301,9.32,380.553
"34236",2014-07-22 09:00:00,928.654248277547,11.0376093314898,9.40524917457838,14.3744436367072,8.57,557.216
"34237",2014-07-22 10:00:00,921.888243880552,11.0376093314898,9.2837087615874,10.8810510545354,7.45,483.582
"34238",2014-07-22 11:00:00,930.419878218492,11.0376093314898,9.27701864191631,4.1383229041178,5.69,566.48
"34239",2014-07-22 12:00:00,946.841042472012,11.0376093314898,9.28081652877687,10.9843518824628,6.4,303.695
"34240",2014-07-22 13:00:00,960.487294443571,11.0376093314898,8.76296855070395,21.8047149305101,5.25,84.45
"34241",2014-07-22 14:00:00,959.953488277114,11.0376093314898,8.5875292855297,8.41020331786221,5.2,212.753
"34242",2014-07-22 15:00:00,962.767539173419,11.0376093314898,8.63813664919138,20.759993121623,6.47,166.019
"34243",2014-07-22 16:00:00,961.702833496031,11.0376093314898,8.66261024493848,34.8594070039334,6.85,117.334
"34244",2014-07-22 17:00:00,953.521764052751,11.0376093314898,8.72727157567118,9.73840869865735,5.11,174.36
"34245",2014-07-22 18:00:00,953.964745341615,11.0376093314898,8.63140683899828,10.6912113619923,4.43,103.48
"34246",2014-07-22 19:00:00,962.893077268251,11.0376093314898,8.75822887272407,62.3801438958963,4.28,15.994
"34247",2014-07-22 20:00:00,957.433175882887,11.0376093314898,8.81494074370501,7817.03035831191,3.52,0.071
"34248",2014-07-22 21:00:00,945.342031568926,11.0376093314898,8.7839761670365,Inf,1.99,0
