lake,Datetime,St,mean_rho,Zg,Zv,mean_depth,lake_area,surface_temp,bottom_temp,therm_dep,max_depth
BM,1990-08-21,188.362691978072,999.247939122089,12.9951116683425,12.9926562146062,7.5,3601324.31758529,20.1,9.7,11.420678323121,18.2
BM,1990-09-05,208.583884154306,999.194856025514,12.995375411713,12.9926562146062,7.5,3601324.31758529,21,9.7,11.245764904856,18.2
BM,1990-09-20,124.12149068617,999.363358763734,12.9942740476042,12.9926562146062,7.5,3601324.31758529,17,9.5,12.8187821217121,18.2
BM,1990-10-01,70.6779396052184,999.431689382112,12.9935773869558,12.9926562146062,7.5,3601324.31758529,14.7,9.8,14.4205175734156,18.2
BM,1990-10-19,4.12931063070847,999.774620724957,12.9927100150149,12.9926562146062,7.5,3601324.31758529,9.7,9.2,13.2289483005694,18.2
BM,1990-10-29,0.715694765493421,999.912123566895,12.9926655380453,12.9926562146062,7.5,3601324.31758529,7.4,7.2,16.9928198798159,18.2
BM,1990-11-14,NA,999.99934382835,12.9926562146062,12.9926562146062,7.5,3601324.31758529,3.7,3.7,NA,18.2
BM,1991-01-14,6.88608992511632,999.966309571853,12.9927459156404,12.9926562146062,7.5,3601324.31758529,-0.8,3.1,4.85933226131562,18.2
BM,1991-02-21,8.2881481392059,999.956374740101,12.9927641804989,12.9926562146062,7.5,3601324.31758529,-1,2.9,5.57137277731772,18.2
BM,1991-03-26,NA,NA,NA,12.9926562146062,7.5,3601324.31758529,0.7,NA,NA,18.2
BM,1991-05-06,NA,NA,NA,12.9926562146062,7.5,3601324.31758529,7.9,NA,NA,18.2
BM,1991-05-20,45.105461638094,999.811148886263,12.9932438680498,12.9926562146062,7.5,3601324.31758529,15.6,7.8,5.58439477774617,18.2
BM,1991-06-05,101.38724963619,999.695708792115,12.9939772840355,12.9926562146062,7.5,3601324.31758529,20.9,8.1,5.83207920514376,18.2
BM,1991-06-17,141.944270537606,999.605319990956,12.9945059066866,12.9926562146062,7.5,3601324.31758529,22.5,8.4,6.5530840251019,18.2
BM,1991-07-01,162.596331626281,999.524383618471,12.9947751976354,12.9926562146062,7.5,3601324.31758529,21.7,8.7,7.79838574055671,18.2
BM,1991-07-15,200.053336424572,999.434397554424,12.9952635784263,12.9926562146062,7.5,3601324.31758529,23.1,8.8,8.22038454553838,18.2
